_id,HAT_NO,YON,DURAK_ID,DURAK_ADI,ENLEM,BOYLAM,DURAKTAN_GECEN_HATLAR
1,32,2,10005,Bahribaba,38.41526836260150,27.12763952722090,32
2,32,1,10005,Bahribaba,38.41526836260150,27.12763952722090,32
3,29,2,10007,Bahribaba,38.415144105211,27.12772009127190,29-30
4,29,1,10007,Bahribaba,38.415144105211,27.12772009127190,29-30
5,30,1,10007,Bahribaba,38.415144105211,27.12772009127190,29-30
6,30,2,10007,Bahribaba,38.415144105211,27.12772009127190,29-30
7,587,2,10008,Bahribaba,38.41518719587190,27.12756664339320,587
8,587,1,10008,Bahribaba,38.41518719587190,27.12756664339320,587
9,33,2,10009,Bahribaba,38.415056,27.127667,33
10,33,1,10009,Bahribaba,38.415056,27.127667,33
11,157,2,10010,Bahribaba,38.4151,27.1275,157
12,157,1,10010,Bahribaba,38.4151,27.1275,157
13,27,2,10011,Bahribaba,38.415025,27.127564,27
14,27,1,10011,Bahribaba,38.415025,27.127564,27
15,15,2,10012,Bahribaba,38.415174494138,27.12724892505890,15-21
16,15,1,10012,Bahribaba,38.415174494138,27.12724892505890,15-21
17,21,2,10012,Bahribaba,38.415174494138,27.12724892505890,15-21
18,21,1,10012,Bahribaba,38.415174494138,27.12724892505890,15-21
19,588,2,10013,Bahribaba,38.415048,27.127411,588
20,588,1,10013,Bahribaba,38.415048,27.127411,588
21,550,2,10014,Bahribaba,38.414970,27.127469,550
22,550,1,10014,Bahribaba,38.414970,27.127469,550
23,193,2,10015,Bahribaba,38.4149,27.1273,193
24,193,1,10015,Bahribaba,38.4149,27.1273,193
25,224,2,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
26,224,1,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
27,910,2,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
28,910,1,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
29,920,2,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
30,920,1,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
31,930,2,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
32,930,1,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
33,940,2,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
34,940,1,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
35,950,2,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
36,950,1,10016,Bahribaba,38.4148,27.1276,224-910-920-930-940-950
37,35,2,10019,Bahribaba,38.41546958092150,27.12704956568790,35-811
38,35,1,10019,Bahribaba,38.41546958092150,27.12704956568790,35-811
39,811,2,10019,Bahribaba,38.41546958092150,27.12704956568790,35-811
40,811,1,10019,Bahribaba,38.41546958092150,27.12704956568790,35-811
41,253,2,10021,Bahribaba,38.41552754610510,27.126972450984,253-951
42,253,1,10021,Bahribaba,38.41552754610510,27.126972450984,253-951
43,951,2,10021,Bahribaba,38.41552754610510,27.126972450984,253-951
44,951,1,10021,Bahribaba,38.41552754610510,27.126972450984,253-951
45,10,2,10022,Bahribaba,38.41538964995170,27.12685807561770,10
46,10,1,10022,Bahribaba,38.41538964995170,27.12685807561770,10
47,303,2,10030,Konak,38.41621811374660,27.12632093742520,303-304
48,303,1,10030,Konak,38.41621811374660,27.12632093742520,303-304
49,304,2,10030,Konak,38.41621811374660,27.12632093742520,303-304
50,304,1,10030,Konak,38.41621811374660,27.12632093742520,303-304
51,792,2,10033,Koca Yusuf,38.14187338993470,27.18809855804590,792
